Open,Close,High,Low,Volume,Date
1661.91,1668.68,1672.04,1657.3,,05/18/21
1638.33,1661.14,1662.49,1638.26,,05/17/21
1622.71,1638.18,1640.27,1621.6,,05/14/21
1613.64,1623.03,1623.2,1598.03,,05/13/21
1611.03,1614.4,1616.9,1605.05,,05/12/21
1620.05,1609.08,1620.24,1589.84,,05/11/21
1611.99,1620.37,1625.81,1606.14,,05/10/21
1621.98,1614.45,1625.69,1613.7,,05/07/21
1611.12,1623.14,1623.67,1611.12,,05/06/21
1613.46,1610.94,1622.9,1610.83,,05/05/21
1605.11,1613.78,1617.26,1604.39,,05/04/21
1599.87,1603.72,1607.81,1595.1,,05/03/21
1606.91,1599.48,1611.79,1599.48,,04/30/21
1594.22,1606.78,1615.53,1593.92,,04/29/21
1594.8,1593.86,1595.3,1586.68,,04/28/21
1590.08,1595.2,1595.86,1586.85,,04/27/21
1579.86,1590.27,1591.16,1576.78,,04/26/21
1574.5,1578.94,1580.14,1571.69,,04/23/21
1573.32,1575.26,1581.79,1569.59,,04/22/21
1581.61,1571.77,1586.99,1569.27,,04/21/21
1569.4,1582.52,1583.26,1554.95,,04/20/21
1575.42,1570.21,1583.09,1568.54,,04/19/21
1561.9,1576.18,1576.86,1556.76,,04/16/21
1562.31,1561.69,1567.68,1551.86,,04/15/21
1564.16,1562.06,1571.91,1555.94,,04/14/21
1570.12,1564.12,1580.07,1561.3,,04/13/21
1575.53,1570.01,1584.87,1569.99,,04/12/21
1584.1,1576.13,1584.1,1574.9,,04/09/21
1581.18,1584.39,1587.46,1577.86,,04/08/21
1575.51,1582.14,1584.15,1574.77,,04/07/21
1578.16,1575.36,1587.22,1575.2,,04/06/21
1561,1575.6,1578.33,1560.29,,04/01/21
1561.69,1560.25,1576.77,1557.44,,03/31/21
1558.47,1561.3,1565.2,1555.15,,03/30/21
1546.25,1558.05,1563.72,1545.74,,03/29/21
1540.15,1545.96,1551.48,1537.09,,03/26/21
1544.95,1539.42,1547.39,1534.13,,03/25/21
1536.63,1544.67,1548.13,1531,,03/24/21
1540.41,1537.64,1545.05,1532.93,,03/23/21
1537.62,1540.44,1546.27,1536.46,,03/22/21
1545.21,1538.62,1550.54,1536.72,,03/19/21
1537.44,1546.34,1549.81,1536.43,,03/18/21
1552.39,1535.54,1552.9,1532.2,,03/17/21
1530.41,1552.44,1553.5,1529.8,,03/16/21
1529.4,1530.34,1532.19,1528.17,,03/15/21
1533.96,1530.39,1540.93,1527.86,,03/12/21
1519.92,1534.45,1540.81,1519.92,,03/11/21
1510.92,1519.06,1521.5,1510.92,,03/10/21
1506.42,1509.95,1519.19,1506.42,,03/09/21
1510.53,1506.4,1515.74,1500.88,,03/08/21
1511.58,1510.1,1516.77,1496.87,,03/05/21
1523.09,1513.28,1526.11,1500.79,,03/04/21
1531.16,1524.22,1540.72,1520.37,,03/03/21
1535.93,1531.4,1545.49,1530.61,,03/02/21
1529.34,1536.55,1548.5,1529.34,,03/01/21
1534.19,1529.16,1538.6,1522.24,,02/26/21
1523.97,1536.53,1537.8,1522.91,,02/25/21
1523.29,1524.44,1535.5,1519.35,,02/24/21
1534.06,1523.54,1537.08,1512,,02/23/21
1545.89,1533.97,1545.89,1528.52,,02/22/21
1544.94,1546.08,1551.97,1539.88,,02/19/21
1555.49,1544.26,1560.2,1542.4,,02/18/21
1561.57,1555.07,1573.62,1552.73,,02/17/21
1535.37,1562.19,1562.28,1535.37,,02/16/21
1522.46,1535.7,1537.35,1522,,02/15/21
1532.18,1521.86,1534.24,1519.29,,02/12/21
1539.08,1533,1552.69,1531.93,,02/11/21
1543.37,1539.28,1548.33,1537.91,,02/10/21
1544.32,1543.32,1547.21,1538.3,,02/09/21
1545.8,1544.31,1553.36,1543.77,,02/08/21
1554.31,1545.72,1559.25,1545.72,,02/05/21
1553.45,1554.37,1561.06,1546.25,,02/04/21
1549.46,1553.38,1559.52,1547.6,,02/03/21
1543.35,1549.35,1551.26,1538.1,,02/02/21
1535.62,1543.35,1552.89,1535.62,,02/01/21
1531.05,1535.64,1542.51,1525.14,,01/29/21
1520.29,1531.08,1533.3,1507.12,,01/28/21
1529.72,1520.32,1532.59,1510.44,,01/27/21
1527.8,1529.6,1537.5,1517.35,,01/26/21
1533.79,1527.79,1543.07,1525.91,,01/25/21
1541.35,1533.75,1541.35,1529.63,,01/22/21
1534.27,1541.34,1546.12,1533.27,,01/21/21
1547.17,1534.23,1550.58,1531.95,,01/20/21
1537.33,1547.18,1547.66,1536.55,,01/19/21
1529.29,1537.3,1538.25,1521.02,,01/18/21
1543.8,1529.23,1549.32,1527.01,,01/15/21
1531.11,1543.75,1545.56,1529.08,,01/14/21
1523.32,1531.08,1545.06,1518.73,,01/13/21
1517.09,1523.28,1527.77,1516.03,,01/12/21
1516.5,1517.04,1529.05,1506.61,,01/11/21
1494.52,1516.46,1518.28,1493.12,,01/08/21
1479.99,1494.49,1494.9,1479.99,,01/07/21
1474.2,1479.95,1483.77,1473.99,,01/06/21
1463.02,1474.18,1474.46,1456.95,,01/05/21
1451.04,1462.94,1467.12,1451.04,,01/04/21
1440.55,1451.07,1452.83,1440.55,,12/30/20
1438.09,1440.57,1446.65,1438.09,,12/29/20
1438.43,1438.06,1449.49,1437.18,,12/28/20
1436.51,1438.43,1444.53,1433.71,,12/23/20
1427.25,1436.49,1443.36,1427.15,,12/22/20
1464.83,1427.3,1464.83,1417.53,,12/21/20
1475.07,1464.83,1475.07,1461.02,,12/18/20
1464.38,1475.03,1476.04,1462.34,,12/17/20
1458.46,1464.37,1471.3,1455.26,,12/16/20
1465.03,1458.64,1475.49,1452.7,,12/15/20
1465.22,1465.04,1476.63,1462.54,,12/14/20
1467.75,1465.19,1473.07,1452.86,,12/11/20
1452.89,1467.7,1469.33,1451.61,,12/10/20
1428.78,1452.86,1455.94,1428.78,,12/09/20
1416.98,1428.79,1430.28,1409.65,,12/08/20
1415.55,1417.01,1418.11,1409.63,,12/07/20
1405.95,1415.53,1420.69,1405,,12/04/20
1402.88,1405.86,1408.09,1395.45,,12/03/20
1399.11,1402.8,1411.65,1396.22,,12/02/20
1394.82,1399.09,1406.64,1394.82,,12/01/20
1391.14,1394.84,1399.47,1385.01,,11/30/20
1389.11,1391.12,1398.79,1387.95,,11/27/20
1384.08,1389.08,1391.55,1382.96,,11/26/20
1379.3,1384,1389.91,1379.3,,11/25/20
1370.72,1379.27,1380.36,1367.64,,11/24/20
1366.15,1370.74,1379.53,1365.12,,11/23/20
1362.81,1366.16,1376.2,1359.58,,11/20/20
1355.56,1362.8,1363.16,1350.44,,11/19/20
1335.12,1355.52,1356.01,1324.84,,11/18/20
1342.38,1335.08,1344.58,1330.12,,11/17/20
1342.62,1342.4,1354.24,1340.08,,11/16/20
1364.6,1342.53,1369.15,1340.51,,11/13/20
1372.2,1364.54,1372.2,1361.41,,11/12/20
1355.22,1372.38,1375.05,1342.83,,11/11/20
1343,1355.15,1362,1335.84,,11/10/20
1315.25,1343.04,1353.31,1294.22,,11/09/20
1313.56,1315.24,1325.03,1304.03,,11/06/20
1287.75,1313.56,1314.21,1287.75,,11/05/20
1264.6,1287.44,1287.67,1254.28,,11/04/20
